"";"p.adj"
"RGA4+RGA5-RGA4";2,20712337295481e-13
"RGA4+RGA5+AVR-Pia-RGA4";4,22433199531724e-11
"RGA4+RGA5+AVR-PikD-RGA4";2,87769807982841e-13
"RGA4+RGA5m1m2-RGA4";2,8332891588434e-13
"RGA4+RGA5m1m2+AVR-Pia-RGA4";4,7117588831691e-06
"RGA4+RGA5m1m2+AVR-PikD-RGA4";2,78212161808344e-06
"RGA4+RGA5+AVR-Pia-RGA4+RGA5";1,01901612625799e-06
"RGA4+RGA5+AVR-PikD-RGA4+RGA5";0,977202994526696
"RGA4+RGA5m1m2-RGA4+RGA5";0,999930068439858
"RGA4+RGA5m1m2+AVR-Pia-RGA4+RGA5";4,53645186815343e-06
"RGA4+RGA5m1m2+AVR-PikD-RGA4+RGA5";7,62650108976359e-06
"RGA4+RGA5+AVR-PikD-RGA4+RGA5+AVR-Pia";0,00429909148972751
"RGA4+RGA5m1m2-RGA4+RGA5+AVR-Pia";0,000501457340981393
"RGA4+RGA5m1m2+AVR-Pia-RGA4+RGA5+AVR-Pia";0,99019021801054
"RGA4+RGA5m1m2+AVR-PikD-RGA4+RGA5+AVR-Pia";0,99580440250186
"RGA4+RGA5m1m2-RGA4+RGA5+AVR-PikD";0,999043416543681
"RGA4+RGA5m1m2+AVR-Pia-RGA4+RGA5+AVR-PikD";0,00260912858001705
"RGA4+RGA5m1m2+AVR-PikD-RGA4+RGA5+AVR-PikD";0,0036692979461469
"RGA4+RGA5m1m2+AVR-Pia-RGA4+RGA5m1m2";0,000388859457100765
"RGA4+RGA5m1m2+AVR-PikD-RGA4+RGA5m1m2";0,000569002797324636
"RGA4+RGA5m1m2+AVR-PikD-RGA4+RGA5m1m2+AVR-Pia";0,999999944960777
